,book_title,book_year,author_name
0,Agnes_Grey,1847,Anne_Bronte
1,Armadale,1864,Wilkie_Collins
2,Aurora_Floyd,1863,Mary_Elizabeth_Braddon
5,Belinda:A_Novel,1883,Rhoda_Broughton
6,Birds_of_Prey,1867,Mary_Elizabeth_Braddon
7,Bleak_House,1853,Charles_Dickens
8,Can_You_Forgive_Her,1864,Anthony_Trollope
9,Cecil_or_The_Adventures_of_a_Coxcomb,1841,Catherine_Gore
10,Children_of_the_Ghetto:A_Study_of_Peculiar_People,1892,Israel_Zangwill
11,Daniel_Deronda,1876,George_Eliot
12,David_Copperfield,1850,Charles_Dickens
13,Desperate_Remedies,1871,Thomas_Hardy
14,Dombey_And_Son,1848,Charles_Dickens
15,Dracula,1897,Bram_Stoker
16,East_Lynne,1860,Ellen_Wood
17,Far_From_The_Madding_Crowd,1874,Thomas_Hardy
18,Foul_Play,1868,Charles_Reade
19,Griffith_Gaunt,1866,Charles_Reade
20,Hagar_of_the_Pawn_Shop,1898, Fergus_Hume
21,Hard_Cash,1863,Charles_Reade
22,Hard_Times,1854,Charles_Dickens
23,Heart_of_Darkness,1899,Joseph_Conrad
24,Henry_Dunbar,1864,Mary_Elizabeth_Braddon
25,In_the_Year_of_Jubilee,1894,George_Gising
26,John_Marchmont's_Legacy,1862,Mary_Elizabeth_Braddon
27,Jude_the_Obscure,1895,Thomas_Hardy
28,Lady_Audley's_Secret,1862,Mary_Elizabeth_Braddon
29,Lady_Lisle,1862,Mary_Elizabeth_Braddon
30,Life_And_Adventures_of_Martin_Chuzzlewit,1844,Charles_Dickens
31,Lost_And_Saved,1863,Caroline_Sheridan_Norton
32,Lucretia_or_The_Children_of_Night,1846,Edward_Bulwer_Lytton
33,Madam_A_Novel,1884,Margaret_Oliphant
34,Mansfield_Park,1814,Jane_Austen
35,Mary_Barton,1848,Elizabeth_Gaskell
36,Meg's_Friend_A_Story_for_Girls,1888,Alice_Corkran
37,Middlemarch,1871,George_Eliot
38,No_Name,1862,Wilkie_Collins
39,Oliver_Twist,1828,Charles_Dickens
40,Our_Mutual_Friend,1865,Charles_Dickens
41,Persuasion,1818,Jane_Austen
42,Phineas_Finn:The_Irish_Member,1886,Anthony_Trollope
43,Phineas_Redux,1874,Anthony_Trollope
44,Shirley,1849,Charlotte_Bronte
45,St_Martin's_Eve,1866,Ellen_Wood
46,The_Agony_Column,1916,Earl_Der_Biggers
47,The_Cross_of_Honor,1864,Annie_Thomas
48,The_Experiences_of_Loveday_Brooke_Lady_Detective,1893,Catherine_Louisa_Pirkis
49,The_Female_Detective,1864,Andrew_Forrester
50,The_First_Men_In_The_Moon,1901,H_G_Wells
51,The_Heir_of_Redclyffe,1852,Charlotte_M_Yonge
52,The_History_of_Mr_Polly,1910,H_G_Wells
53,The_Legacy_of_Cain,1888,Willkie_Collins
54,The_Mirror_of_the_Sea,1907,Joseph_Conrad
55,The_Moonstone,1868,Willkie_Collins
56,The_Mystery_of_The_Hansom_Cab,1886,Fergus_Hume
57,The_New_Magdalene,1873,Willkie_Collins
58,The_Papers,1903,Henry_James
59,The_Posthumus_Papers_of_the_Pickwick_Club,1837,Charles_Dickens
61,The_Reverbertor,1888,Henry_James
62,The_Story_of_a_Modern_Woman,1894,Ella_Hempworth_Dixon
63,The_Struggles_of_Brown_Jones_and_Robinson_By_One_of_The_Firm,1861,Anthony_Trollope
64,The_Warden,1855,Anthony_Trollope
65,The_Woman_in_White,1859,Wilkie_Collins
66,The_Wrecker,1892,Robert_Louis_Stevenson_and_Lloyd_Osbourne
67,Tono_Bungay,1909,H_G_Wells
68,Two_on_a_Tower,1882,Thomas_Hardy
69,Under_Two_Flags,1867,Ouida
70,Under_Western_Eyes,1911,Joseph_Conrad
71,Villette,1853,Charlotte_Bronte
72,Wylder's_Hand,1863,Joseph_Sherridan_le_Fanu
